Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
17250	83	62	0	0	6	0	0	78604	2	21	0	85021	2	22132	0	105621	6	15780	0	14519	72283
17500	67	113	0	0	2	0	0	88382	1	0	0	88964	3	23155	0	106360	5	16593	0	15178	75495
17750	60	75	20	0	5	0	0	82893	11	0	0	85629	4	24455	0	106183	5	16815	0	14995	81103
18000	76	167	26	0	21	0	0	84492	0	0	0	90116	12	23477	0	110800	8	16261	0	14732	77873
18250	144	55	0	8	3	0	0	83883	2	0	0	86290	5	24704	0	109794	5	17912	0	15933	77986
18500	177	18	0	0	2	0	0	85203	0	0	0	87637	4	24722	0	112163	5	17511	0	14955	80012
18750	222	14	0	0	4	0	0	87973	25	9	0	86606	1	25967	0	128501	6	17048	0	16096	81058
19000	182	46	0	0	5	0	0	88673	2	0	0	91330	9	26228	0	120271	5	17376	0	15910	82114
19250	206	21	0	0	4	8	0	92403	2	0	0	89406	8	26729	0	124692	16	18190	0	15954	84328
19500	211	32	0	0	1	0	0	92134	1	0	0	93752	4	27408	0	117393	7	18484	0	16876	84020
19750	155	76	0	0	1	0	0	95504	2	0	0	90044	6	27273	0	121920	5	19701	0	16362	86110
20000	138	99	0	0	0	0	0	94362	2	0	0	88003	13	27989	0	123043	5	18230	1	16496	84643
20250	117	28	0	0	31	0	0	96416	0	0	0	91561	85	28374	0	124093	9	19166	0	16724	84966
20500	111	21	0	0	40	0	0	96129	1	10	0	96599	2	28628	0	130039	5	18980	0	17316	88673
20750	109	24	0	10	2	0	0	99954	0	0	0	102473	9	28176	0	136388	5	19085	0	17328	90891
21000	10360	45	40	0	1	0	0	102915	2	0	0	99426	6	30839	0	132381	6	20679	0	17295	88649
21250	1119	30	0	0	2	0	0	103862	1	0	0	92459	3	29261	0	147103	4	20361	0	17994	92771
21500	1620	69	0	0	1	0	0	103075	0	0	0	95965	8	31282	0	136336	5	20114	0	17626	95541
21750	144	39	0	0	2	0	0	104331	1	0	0	99607	4	29334	0	134298	6	21228	0	18412	90720
22000	194	44	0	0	0	0	0	108408	1	0	0	97574	4	30648	0	139918	16	20973	0	19154	93645
22250	105	32	0	0	15	0	0	110905	1	0	0	97362	15	31231	0	138815	5	21566	0	18918	97218
22500	97	37	0	0	1	0	0	110000	271	0	0	95429	3	30397	0	140954	7	24043	0	18720	97965
22750	144	59	49	0	2	0	0	109635	12	0	0	98894	8	32180	0	137360	5	22654	0	19107	99020
23000	76	61	0	0	1	0	0	112009	22	0	0	98220	4	33623	0	146479	5	21945	0	19133	99801
23250	79	51	0	0	3	0	0	113238	1	66	0	105503	5	32943	0	150573	6	22259	0	19702	100857
23500	104	66	0	0	0	0	0	114693	11	0	0	99192	4	32858	0	145981	51	21981	0	19744	99603
23750	66	114	0	0	1	0	0	123727	7	1	0	98540	7	34408	9	147789	5	24682	0	20750	103445
24000	60	84	0	0	2	0	0	117334	5	2	0	104613	4	33037	0	150157	6	23551	0	20119	104422
24250	64	109	0	0	2	0	0	124354	7	0	0	101599	7	34817	0	157572	5	24019	0	20381	105182
24500	87	142	1	0	36	0	0	122259	4	108	0	104182	5	40462	0	150353	5	23755	0	22370	106526
24750	97	236	0	0	1	0	0	130874	18	1	0	106879	7	35839	0	165012	1270	24316	0	21122	105394
25000	99	139	82	16	2	0	0	124964	3	1	0	105495	1	35476	0	158115	6	24081	0	21491	109352
25250	218	79	0	0	3	0	38	127884	5	0	0	105278	8	36741	0	157722	54	27058	0	21260	109545
