Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
64250	196	199	1	177	3	0	0	429284	9	0	0	284303	4	195142	0	569477	10	88193	0	79806	291348
64500	275	187	0	0	7	0	0	434752	2	0	0	274855	3	187462	0	560935	10	87777	0	75988	289894
64750	214	170	0	0	4	0	0	434146	3	0	0	282273	3	180542	0	550667	11	90553	0	76048	294383
65000	208	195	0	0	6	0	0	446606	4	0	0	283034	3	182529	0	550054	51	90206	0	81425	293518
65250	220	161	0	0	3	0	0	443850	4	0	0	288623	4	187824	0	562901	12	91296	0	77964	292412
65500	190	167	1	4494	3	0	0	440378	2	1	0	288280	5	191705	0	556912	11	92626	0	77888	295120
65750	189	195	0	1	2	0	0	447766	12	10	0	280393	6	190163	0	557376	3006	102331	0	77562	303836
66000	230	179	1	46	2	0	0	445103	7	0	0	295685	5	188234	0	560663	27	97611	0	82479	304277
66250	244	185	0	0	3	9	0	448736	5	0	0	294036	1	192048	0	577578	4	97595	0	79655	302705
66500	307	179	1	36	3	0	10	452134	4	21	0	281848	3	190003	0	577633	5	98237	0	80843	306668
66750	258	173	1	17	2	0	0	466270	28	0	63	292806	2	200642	0	575136	7	97235	0	82427	303893
67000	271	192	0	0	1	0	0	452293	17	0	0	295387	3	194613	0	575472	5	100746	0	81133	308425
67250	228	199	0	0	17	0	0	468253	6	0	0	311235	2	205179	0	577929	5	98212	0	91977	309165
67500	218	185	1	0	2	0	0	456882	5	9	0	297846	2	202870	0	573855	6	101327	0	86873	309748
67750	215	207	44	0	6	0	0	463597	31	0	0	296471	8	201525	0	576868	5	101339	0	94431	313602
68000	220	236	0	0	2	29	0	467690	3	0	0	304355	7	204773	0	577990	5	105438	21	92536	312368
68250	219	261	0	91	5	0	0	465811	2	0	0	297822	3	203043	0	584259	7	104810	0	88157	314696
68500	245	238	0	4	6	0	0	465304	14	0	0	301664	2	203477	0	590512	18	104456	0	82555	317264
68750	223	196	0	40	2	0	0	468302	2	0	0	324612	2	206785	0	588448	6	103953	0	87398	316820
69000	248	163	2	3	3	0	0	465356	2	1	0	297854	4	208244	0	595264	6	104864	0	87258	318615
69250	223	177	0	119	3	0	0	475089	30	11	0	310589	2	215996	0	596786	5	105753	0	84963	319313
69500	246	151	1	0	6	0	28	473827	7	0	0	310329	6	215245	0	590698	5	107116	0	87077	323551
69750	269	158	0	0	3	0	0	483471	4	0	0	301701	3	212996	9	599600	7	109173	0	92700	324191
70000	216	169	1	0	5	0	0	472180	45	0	0	303379	55	220316	0	598063	35	114414	0	94547	319595
70250	207	193	0	0	3	0	0	482635	5	0	0	308618	3	214582	0	604929	5	108283	0	89077	325568
70500	226	163	58	0	4	0	0	484054	3	0	0	314858	5	225701	0	605356	4	110865	0	92203	324105
70750	236	188	1	373	30	0	0	484648	3	9	0	302471	5	221823	0	607375	6	112444	0	93931	326533
71000	223	175	0	0	3	0	30	492166	1	0	0	309438	6	224658	0	608584	3610	110084	0	90882	324573
71250	313	190	0	0	12	0	0	507497	6	0	0	301420	7	228812	0	611020	45	109170	0	92606	330436
71500	265	207	0	0	2	0	0	496526	14	0	0	303680	5	238293	0	681229	7	112951	0	92230	330240
71750	241	189	0	0	2	0	0	485111	4	0	0	316050	3	228136	0	611949	7	111954	0	92842	332077
72000	491	222	0	0	3	0	0	497051	3	0	0	308557	60	227453	0	640782	9	112058	0	95651	333115
72250	265	197	0	0	2	0	0	490877	110	0	8	317844	4	223615	0	630282	8	115928	0	95195	333160
72500	224	210	0	21	34	0	0	495131	128	11	0	313072	3	241894	0	627094	5	123463	0	98544	333866
72750	210	262	0	0	6	0	0	500714	8	0	0	313610	6	236352	9	621853	89	119821	0	103001	336869
73000	228	268	1	0	3	0	0	504193	14	0	0	323770	4	238324	0	624886	10	117198	0	94814	336976
73250	208	257	0	0	3	0	0	504217	50	2	0	314222	2	245535	0	631916	5	114655	0	101079	338222
73500	217	232	0	0	12	0	0	507844	17	1	0	317960	7	246956	0	630906	5	118028	0	100462	339691
73750	196	239	0	0	6	0	0	506967	104	76	0	319524	14	249412	0	636529	21	120927	0	94285	338211
74000	180	205	0	0	2	0	0	512683	15	0	0	324916	10	247001	0	633042	7	121222	0	100608	342509
74250	204	204	0	0	0	0	0	511756	15	0	0	321758	6	243743	0	643263	6	121932	14	98101	342937
74500	186	209	0	0	4	0	0	512197	10	0	0	325517	7	252114	0	637051	6	128161	0	98191	344573
74750	183	205	1	0	4	0	0	517956	11	0	0	342700	0	251177	0	638418	4	120987	0	99167	347456
75000	191	211	0	0	1	0	0	523351	44	0	0	330159	5	252202	0	641405	5	130830	0	100558	346881
75250	195	256	1	0	1	0	0	527573	18	16	0	329129	4	251788	0	638174	11	123504	0	106668	349719
75500	307	220	0	0	4	0	23	531892	15	0	0	328587	3	257018	0	640157	6	124189	0	103481	349962
75750	285	251	0	0	12	0	0	528928	7	0	0	334595	4	255110	0	647629	5	125576	0	102424	348663
76000	212	243	0	0	5	0	0	523592	8	0	0	336660	68	262941	23	649088	6	127465	0	103538	350183
76250	212	213	0	0	2	0	0	535114	13	0	0	335790	2	255336	0	651607	31	126823	0	100313	351344
76500	230	306	0	0	1	0	0	529652	62	0	0	336418	5	261313	0	660270	5	134062	0	104770	373651
76750	203	266	0	60	3	0	0	535289	9	10	0	333308	2	261380	0	656287	8	138900	0	104988	353849
77000	207	353	9	0	4	0	0	532328	10	0	0	335415	4	267107	0	663364	4	128304	0	103286	357109
77250	226	250	0	11	6	0	0	542794	6	0	0	341509	1	272538	22	656839	6	126873	0	106838	363015
77500	214	255	18	0	13	0	0	543980	3	25	0	343868	3	267799	0	697896	6	129223	0	111859	366501
77750	266	439	1	0	7	0	0	537406	37	0	0	340560	3	274562	0	660957	5	129334	0	107739	369086
78000	212	236	1	0	68	0	0	584567	10	0	0	341640	13	280147	0	665714	5	131386	0	111498	372236
78250	198	193	0	0	8	0	0	567388	8	2	0	349180	7	277531	0	676162	9	132524	0	108348	367201
78500	259	164	1	0	4	0	0	598478	4	0	0	400420	1	286043	0	673449	5	144251	12	107841	378344
78750	207	153	0	0	6	0	0	541056	6	0	0	339034	6	290706	0	672507	5	142129	0	107799	374883
79000	183	193	0	0	1	0	0	549956	5	0	0	351318	2	283468	0	681500	5	133864	0	112212	375208
79250	228	174	1	0	1	0	0	566631	38	0	0	345668	4	284690	0	681681	6	135455	0	111744	371944
79500	204	187	0	0	4	0	0	550668	8	0	0	359017	3	283635	0	673234	5	138664	0	111275	377429
79750	197	194	1	0	4	0	0	548018	9	1	0	355715	2	281545	0	680959	5	139491	0	119873	386712
80000	223	187	0	4	15	0	0	561624	8	1	0	365975	2	283607	0	683025	6	140533	0	114370	379877
80250	211	201	0	0	9	0	0	554272	6	0	0	356561	36	298135	0	684967	5	141812	0	118181	383758
80500	313	192	0	0	10	0	0	555678	16	0	0	358249	4	285299	0	684683	5	145303	0	126397	383162
80750	240	235	0	0	2	0	0	558705	8	61	0	358769	4	292591	0	693215	7	141323	0	114910	382319
81000	248	222	0	0	8	0	0	556634	5	29	0	363775	1	293903	0	693714	30	139615	0	118993	399326
81250	332	428	2	0	4	0	0	563405	4	1	0	364703	28	295050	0	697800	4	140925	0	113071	380544
81500	244	248	1	0	2	52	0	560459	5	0	0	369127	6	291017	0	710049	26	142529	0	117986	375414
81750	270	231	1	0	6	0	0	567330	8	25	0	364039	2	311019	0	709346	5	144104	0	115753	405967
82000	236	235	1	0	12	0	0	569656	14	63	0	358438	10	314317	0	707865	5	152647	0	120305	390502
82250	245	292	0	0	4	0	0	577950	17	0	0	352799	2	303649	0	702854	4210	149364	0	117741	386543
82500	208	240	0	14	6	0	0	574020	38	1	0	356775	24	303518	0	703697	6	143937	0	121817	384306
82750	237	268	0	0	4	0	0	573408	21	11	0	370059	2	320053	0	708803	8	142829	13	118662	383801
83000	230	158	0	0	3	0	0	570004	15	0	0	372950	4	310797	0	707786	5	148547	0	121410	389492
83250	210	180	0	0	4	0	0	573652	56	0	0	375241	1	312538	0	705261	4	150568	0	116932	385579
83500	242	224	0	0	4	0	0	576413	15	0	0	381650	1	315845	0	715694	12	150336	0	119129	387972
83750	210	217	0	0	4	0	0	581516	61	0	0	370075	2	316769	0	725316	5	151540	0	124519	392237
84000	198	213	2	0	20	0	0	574167	15	1	17	384870	8	317070	0	717270	5	153235	0	126784	397572
84250	186	193	39	137	8	0	0	615275	12	19	0	369361	15	317978	0	713046	7	148575	0	128611	393660
84500	237	176	2	0	6	0	0	581961	23	3	0	374552	61	317561	1	719762	80	150763	0	128580	394148
84750	187	251	0	14	7	0	0	584978	10	52	0	376978	5	316802	0	745992	5	217591	34	127549	397757
85000	240	180	0	0	7	0	0	618333	6	0	0	370187	4	325166	9	716246	7	152389	0	127873	408148
85250	325	197	64	1	7	0	0	592290	12	0	0	376885	9	323813	0	717098	5	154838	0	123105	397829
85500	316	247	1	0	5	0	0	591455	9	0	0	380044	4	324048	0	733701	4	156833	0	124380	398043
85750	250	211	0	2	3	0	0	598550	23	0	0	387954	6	324290	0	725320	9	156967	0	126630	400955
86000	231	258	0	0	15	0	0	598547	10	0	0	379963	7	324610	0	730328	5	155195	0	147910	405099
86250	225	226	1	1	4	0	0	597764	4	52	0	385001	7	328223	0	730791	5	156804	0	135343	406988
86500	217	241	0	0	3	0	0	602488	4	0	0	392795	6	332419	0	731472	6	159084	0	134766	405065
86750	210	299	1	0	6	0	0	625998	4	0	0	391631	2	340738	0	731759	8	158471	0	129962	403560
87000	226	244	54	0	2	0	0	644568	2	0	0	389272	19	335235	0	747489	7	164741	0	130867	404842
87250	211	344	0	1	2	0	0	607321	19	0	0	394883	24	351593	0	743176	6	161445	0	137593	408191
87500	206	228	1	0	3	0	0	616821	7	0	0	389527	23	376874	0	745676	4	156606	0	130787	408914
87750	211	237	0	0	3	0	0	613142	4	0	0	395499	27	373220	0	743248	5	160876	0	134017	409681
88000	203	244	1	0	3	0	0	605922	8	0	0	390547	30	443930	9	749445	6	158862	0	131627	411156
88250	192	266	1	0	11	0	0	614321	6	0	0	398808	25	374558	0	748435	7	163418	0	133414	410793
88500	215	367	1	0	3	0	0	611585	4	0	0	399448	42	394008	0	753761	5	167162	0	133560	414444
88750	218	259	1	0	4	0	0	620264	17	11	0	402009	20	391866	0	756704	7	163966	0	141288	415767
89000	195	243	0	0	3	0	0	662590	6	1	0	409209	16	397948	0	756349	5	170109	0	140639	417576
89250	188	223	0	0	1	0	0	682563	25	0	0	398439	48	409896	0	763667	5	166966	0	133769	416021
89500	178	233	1	0	37	0	0	623471	4	1	0	403440	27	420344	27	757368	6	197724	0	136369	416801
89750	194	211	0	13	2	0	0	634049	7	0	0	403874	23	427732	0	760652	4	180312	0	141611	418886
90000	243	211	0	0	2	0	0	629846	33	1	0	416512	17	436610	0	758444	8	173507	0	141718	418789
90250	227	237	1	0	2	0	0	631979	6	40	0	406461	23	437051	0	763108	6	170885	0	140824	423675
90500	239	276	0	0	12	0	0	641197	2	0	0	411482	9	446166	0	764854	5	171370	0	139378	428227
90750	229	256	0	0	3	0	0	629180	4	0	0	414095	14	451229	0	766484	5	173688	0	143703	424896
91000	225	319	0	54	1	0	0	631406	6	1	0	424516	14	454880	0	770298	8	174617	0	139756	427168
91250	242	397	0	0	5	0	0	637854	10	0	0	486937	7	451711	0	763770	5	173705	0	142203	427322
91500	215	206	1	0	4	0	0	643824	32	0	0	408619	7	461127	0	773800	5	173705	0	147564	428188
91750	211	204	1	0	3	0	0	637949	16	30	0	411284	10	462812	0	771880	4	168966	0	145195	470119
92000	252	225	0	0	1	0	0	635532	31	25	0	410881	5	472985	0	772963	6	174343	0	151248	455060
92250	203	198	1	19	4	0	0	643723	40	0	0	410955	24	483770	0	777198	5	175274	0	140639	433504
92500	208	250	0	0	28	0	0	653726	162	0	0	420002	12	494107	0	772934	4470	176058	0	143473	429007
92750	219	218	1	0	20	0	0	648555	46	2	0	422958	15	501544	0	857205	6	179662	68	141026	434447
93000	189	221	0	0	145	0	0	649654	35	0	0	416561	11	505669	0	826211	11	180378	0	144321	433735
93250	184	271	0	0	39	0	0	649500	26	0	71	429371	11	503024	0	815385	7	178571	0	152387	437331
93500	233	268	0	0	9	9	0	661669	30	0	0	430155	3	512466	0	792120	7	177000	22	154013	437629
93750	192	263	52	0	4	0	0	666604	20	0	0	430325	6	519283	0	791129	8	181596	0	148532	440935
94000	208	242	0	0	5	0	0	659932	15	0	0	424180	8	532013	10	804199	4	178711	0	147037	441799
94250	203	253	1	0	79	0	0	659109	48	0	0	423555	6	531704	0	795567	5	184513	0	151035	443536
94500	232	320	0	0	8	0	0	664858	13	0	0	426429	6	539487	0	799821	20	183215	0	150200	444620
94750	232	272	0	9	6	0	0	664439	51	0	0	428792	7	539950	0	798895	5	182687	0	155842	444851
95000	263	316	1	0	5	30	1	656181	15	27	0	425140	5	551005	0	798980	6	185593	0	155846	450154
95250	263	238	0	0	5	0	0	659680	5	2	0	432954	8	545901	0	806062	9	188360	0	155501	466064
95500	250	377	1	0	2	0	0	662885	9	3	0	434492	12	549317	57	799619	5	186849	0	148212	450270
95750	307	237	33	0	5	0	0	660523	9	86	0	437176	10	557839	0	837180	5	193316	0	154092	449972
96000	261	231	1	0	155	0	0	668848	7	0	0	434393	9	559529	0	807483	7	184814	0	157019	452501
96250	222	209	1	0	6	0	0	670704	15	24	0	440251	10	563491	0	809706	4	187183	0	153511	458053
96500	238	226	1	0	4	0	0	668500	17	9	0	438196	10	566809	0	807972	5	186196	0	163908	498386
96750	217	285	9	0	0	0	0	820829	9	0	0	430829	6	587712	0	819656	6	196639	0	157026	469827
97000	216	197	0	0	33	29	24	680990	7	0	0	438482	10	585135	24	815247	5	194230	0	156221	471234
97250	242	209	0	0	5	0	0	677764	4	1	0	463784	32	586012	0	836452	6	189092	0	159797	458230
97500	201	215	1	0	1	0	0	680072	9	22	0	440128	13	595307	0	817763	7	188482	0	155935	464992
97750	213	214	0	0	3	0	0	679764	11	0	0	437197	14	604048	0	815446	5	190320	0	208061	459617
98000	221	256	0	0	3	0	0	722287	2	0	0	437138	34	610379	0	820703	5	188967	0	160312	458992
98250	201	247	0	0	4	0	0	681463	5	9	0	446693	40	615085	0	827185	5	194437	0	159434	461598
98500	203	233	0	0	0	0	0	689204	7	0	0	448767	25	619079	0	819469	9	190919	0	158849	468248
98750	222	258	1	0	0	0	0	683203	18	0	0	439255	13	631280	0	828522	5	194792	0	165007	464964
99000	234	247	1	0	3	0	0	708451	11	0	0	449844	14	624219	0	821384	7	192715	0	159886	467811
99250	214	275	2	0	1	9	0	695915	5	0	0	461693	4	636811	0	832170	5	198640	0	164472	467097
99500	266	372	1	0	5	0	0	702613	25	0	0	454051	7	640481	0	830919	5	200608	0	163758	471326
99750	281	350	0	0	5	0	0	700144	6	0	0	472103	3	662470	20	833046	18	196968	0	166306	464903
100000	272	222	0	22	106	0	0	699999	6	10	0	459284	1	645493	0	834830	5	195411	0	168360	471183
100250	232	233	0	0	4	0	1	700205	26	1	0	453921	2	688863	0	839239	5	195133	0	161914	476758
100500	242	271	0	0	4	0	0	706964	30	1	0	456527	0	649402	0	836259	6	202522	0	163422	473145
100750	229	201	9	0	3	0	0	715043	23	429	0	464368	0	650772	1	837466	5	203314	0	164355	476937
101000	226	249	0	0	2	0	0	718184	122	1	0	460952	3	649408	0	853480	2509	198587	0	170107	481140
101250	235	209	0	0	2	0	0	966214	22	0	0	470357	3	666735	0	847182	9	202191	0	168422	484327
101500	222	238	0	0	3	0	0	1383595	17	0	0	569970	2	659686	0	849055	6	202834	0	171323	476051
101750	223	222	0	0	5	0	0	738138	8	0	0	554822	13	662446	0	854992	6	203813	0	168816	477194
102000	235	222	0	0	6	0	0	714381	79	0	0	526160	0	677915	0	853773	5	205397	0	168949	486166
102250	216	257	2	0	4	0	0	713287	23	0	0	505866	2	672928	2	851332	6	205681	0	172963	484488
102500	285	238	0	1	2	0	0	727170	107	12	0	486558	0	675133	0	865578	6	207062	0	173017	483591
102750	234	283	1	0	1	0	0	714913	15	0	0	490132	2	682332	1	865366	5	205883	0	170598	486243
103000	230	245	0	1	1	0	0	718055	11702	0	0	499108	2	684138	0	873413	5	210448	0	169207	482419
103250	249	369	10	0	2	11	10	717083	4	0	0	496131	1	681754	0	870503	6	214213	24	171610	487405
103500	232	274	0	0	2	0	0	744616	24	0	0	508066	0	682311	0	879546	19	206170	0	170471	489853
103750	228	389	0	0	0	0	0	722446	15	0	0	500953	1	687604	0	876348	5	205428	0	172252	489664
104000	262	290	0	0	44	0	0	763576	15	35	0	515986	13	698525	1	879443	7	210646	0	179856	491987
104250	4	4	0	0	0	0	0	8318	0	1	0	6191	0	10764	0	10908	0	2286	0	3658	5908
